specific,species,species_ref,genus_ori,subgenus,species_syn,species_syn_ref,subspecies_syn,subspecies_syn_ref,subspecies,subspecies_ref
mendezi,mendezi,"Emerson & Price, 1975:28 ",,Gliricola,,,,,,
mesomydis,mesomydis,"Werneck, 1933c:339 ",,Gliricola,,,,,,
mexicanus,porcelli,,,,mexicanus,"Hopkins & Clay, 1952:145",,,,
mirandai,mirandai,"Werneck, 1935:597 ",,Gliricola,,,,,,
omahonyi,omahonyi,"Werneck, 1951:309 ",,Hutiaphilus,,,,,,
palladius,palladius,"Kéler, 1943:189 ",,Gliricola,,,,,,
panamensis,panamensis,"Werneck, 1944c:391 ",,Gliricola,,,,,,
paraensis,paraensis,"Werneck, 1942a:309 ",,Gliricola,,,,,,
pinei,pinei,"Price & Timm, 1997:294 ",,Hutiaphilus,,,,,,
pintoi,pintoi,"Werneck, 1935:597 ",,Gliricola,,,,,,
porcelli,porcelli,"Schrank, 1781:500",Pediculus,Gliricola,,,,,,
porcelli perfoliatus,porcelli,,Gyropus,,,,porcelli perfoliatus,"Neumann, 1912b:216",,
quadrisetosus,quadrisetosus,"Ewing, 1924a:30",Paragliricola,Gliricola,,,,,,
rabbi,rabbi,"Price & Timm, 1997:292 ",,Hutiaphilus,,,,,,
saviae,porcelli,,Pediculus,,saviae,"Hopkins & Clay, 1952:145",,,,
schwartzi,schwartzi,"Price & Timm, 1997:292 ",,Hutiaphilus,,,,,,
spinosus,distinctus,,,,spinosus,"Hopkins & Clay, 1952:145",,,,
sylvatica,sylvatica,"Méndez, 1969:503 ",,Gliricola,,,,,,
tiptoni,tiptoni,"Emerson & Price, 1975:24 ",,Gliricola,,,,,,
venezuelanus,venezuelanus,"Emerson & Price, 1975:18 ",,Gliricola,,,,,,
vogelsangi,vogelsangi,"Werneck, 1951:303 ",,Gliricola,,,,,,
wenzeli,wenzeli,"Emerson & Price, 1975:18 ",,Gliricola,,,,,,
wernecki,wernecki,"Price & Timm, 1997:295 ",,Hutiaphilus,,,,,,
woodmani,woodmani,"Price & Timm, 1993:353 ",,Gliricola,,,,,,
cercomydis,cercomydis,"Werneck, 1942b:25",,,,,,,,
cruzi,cruzi,"Werneck, 1933b:153",Tetragyropus,,,,,,,
diplomys,diplomys,"Méndez, 1967b:555",,,,,,,,
elongatus,elongatus,"Castro, Cicchino & Torres-Mura, 1987:43",,,,,,,,
emersoni,emersoni,"Méndez, 1969:497",,,,,,,,
freitasi,freitasi,"Werneck, 1942b:21",,,,,,,,
lenti distinctus,,,,,,,,,lenti distinctus,"Werneck, 1948:68"
lenti lenti,,,,,,,,,lenti lenti,"Werneck, 1936b:845"
limai,limai,"Werneck, 1948:65",,,,,,,,
lineatus,lineatus,"Neumann, 1912b:218",,,,,,,,
longus,longus,"Neumann, 1912b:222",,,,,,,,
martini iheringi,,,,,,,,,martini iheringi,"Werneck, 1948:64"
martini martini,,,Tetragyropus,,,,,,martini martini,"Werneck, 1934c:277"
martini matthaeensis,,,,,,,,,martini matthaeensis,"Werneck, 1948:65"
mesoamericanus,mesoamericanus,"Méndez, 1969:499",,,,,,,,
mexicanus,ovalis,,Macrogyropus,,mexicanus,"Hopkins & Clay, 1952:161",,,,
ovalis,ovalis,"Burm., 1838:443",,,,,,,,
parasetosus,parasetosus,"Werneck, 1935:598",,,,,,,,
parvus,parvus,"Ewing, 1924a:11",Monogyropus,,,,,,,
persetosus,persetosus,"Cicchino & Castro, 1990:319",,,,,,,,
recifensis,ovalis,,,,recifensis,"Hopkins & Clay, 1952:162",,,,
ribeiroi,ribeiroi,"Werneck, 1935:598",,,,,,,,
scalaris,scalaris,"Werneck, 1942b:23",,,,,,,,
setifer,setifer,"Ewing, 1924a:22",,,,,,,,
setosus,setosus,"Neumann, 1912a:372",,,,,,,,
thompsoni,thompsoni,"Werneck, 1935:597",,,,,,,,
travassosi,travassosi,"Werneck, 1948:58",,,,,,,,
turbinatus,ovalis,,,,turbinatus,"Hopkins & Clay, 1952:162",,,,
wernecki,wernecki,"Emerson & Price, 1975:31",,,,,,,,
amplexans,amplexans,"Neumann, 1912b:224",Gyropus,,,,,,,
costalimai,costalimai,"Werneck, 1931:21",Heterogyropus,,,,,,,
dentatus,dicotylis,,,,dentatus,"Hopkins & Clay, 1952:204",,,,
dicotylis,dicotylis,"Macalister, 1869:420",Gyropus,,,,,,,
heteronychus,heteronychus,"Ewing, 1924a:27",Heterogyropus,,,,,,,
longisetis,longisetis,"Werneck, 1948:92",,,,,,,,
ratti,amplexans,,Pediculus,,ratti,"Larranaga [In Vogelsang], 1928:430) ",,,,
almeidai,almeidai,"Werneck, 1937c:105",,,,,,,,
penidoi,penidoi,"Werneck, 1934b:174",,,,,,,,
alpinus,lagotis,,Gyropus,,alpinus,"Hopkins & Clay, 1952:289",,,,
centralis,centralis,"Castro & Cicchino, 2001:88",Gyropus,,,,,,,
ewingi,ewingi,"Werneck, 1936a:436",Gyropus,,,,,,,
forficulatus,ewingi,,Gyropus,,forficulatus,"Hopkins & Clay, 1952:289",,,,
forficulatus,forficulatus,"Neumann, 1912b:220",Gyropus,,,,,,,
gracilipes,gracilipes,"Ewing, 1924a:18",Gyropus,,,,,,,
grypophallus,ewingi,,Gyropus,,grypophallus,"Hopkins & Clay, 1952:289",,,,
lagotis,lagotis,"Gervais, 1849:103",Gyropus,,,,,,,
latipollicaris,latipollicaris,"Ewing, 1924a:17",Gyropus,,,,,,,
mendocinus,mendocinus,"Cicchino & Castro, 1998:185",Gyropus,,,,,,,
nematophallus,nematophallus,"Werneck, 1935:597",Gyropus,,,,,,,
pearsoni,pearsoni,"Werneck, 1948:86",,,,,,,,
pollicaris,pollicaris,"Ewing, 1924a:16",Gyropus,,,,,,,
rionegrensis,rionegrensis,"Cicchino & Castro, 1994:4",,,,,,,,
tucumanus,tucumanus,"Cicchino, 1990a:27",,,,,,,,
wetmorei,wetmorei,"Ewing, 1924a:19",Gyropus,,,,,,,
coypus,coypus,"Marelli, 1932:9",,,,,,,,
mollis,coypus,,,,mollis,"Hopkins & Clay, 1952:294",,,,
normalis,normalis,"Ewing, 1924a:8",,,,,,,,
elephantis,elephantis,"Piaget, 1869:254",,,,,,,,
elephantis,elephantis,,Idolocoris,,elephantis,"Hopkins & Clay, 1952:162",,,,
elephantis sumatranus,elephantis,,,,,,elephantis sumatranus,"Fahrenholz, 1910:714 ",,
hopkinsi,hopkinsi,"Clay, 1963a:155",,,,,,,,
longirostris,elephantis,,,,longirostris,"Hopkins & Clay, 1952:163",,,,
paradoxus,elephantis,,,,paradoxus,"Hopkins & Clay, 1952:163",,,,
porci,porci,"Emerson & Price, 1988:338",,,,,,,,
proboscideus,elephantis,,,,proboscideus,"Hopkins & Clay, 1952:163",,,,
africanum,kelloggi,,,,africanum,"Hopkins & Clay, 1952:182",,,,
albicillae,tinnunculi,,Nirmus,,albicillae,"Hopkins & Clay, 1952:182",,,,
anatolicum,maximum,,,,anatolicum,"Nelson & Price, 1965:253",,,,
atrum,atrum,"Nitzsch, 1818:302",Liotheum,Eulaemobothrion,,,,,,
auquab,tinnunculi,,,,auquab,"Nelson & Price, 1965:252",,,,
biswasi,biswasi,"Lakshminarayana, 1967:259",Eulaemobothrion,Eulaemobothrion,,,,,,
blagoveshtchenskyi,blagoveshtchenskyi,"Tendeiro, 1963a:95 ",,Eulaemobothrion,,,,,,
brasiliense,unidentifiable,,,,brasiliense,"Hopkins & Clay, 1952:183",,,,
bulgaricum,vulturis,,,,bulgaricum,"Nelson & Price, 1965:256",,,,
bureschi,maximum,,,,bureschi,"Nelson & Price, 1965:254",,,,
buteonis,maximum,,Pediculus,,buteonis,"Fabricius [J.C.], 1777:309) ",,,,
buteonivorum,maximum,,Nirmus,,buteonivorum,"Nelson & Price, 1965:253",,,,
canalense,glutinans,,,,canalense,"Nelson & Price, 1965:256",,,,
caracaraensis,maximum,,,,caracaraensis,"Nelson & Price, 1965:253",,,,
chloropodis,chloropodis,"Schrank, 1803:189",Pediculus,Eulaemobothrion,,,,,,
chondrohieracis,maximum,,,,chondrohieracis,"Nelson & Price, 1965:254",,,,
circi,maximum,,Pediculus,,circi,"Nelson & Price, 1965:253",,,,
clayae,maximum,,,,clayae,"Nelson & Price, 1965:254",,,,
cubense,cubense,"Kellogg & Ferris, 1915b:149 ",,Eulaemobothrion,,,,,,
delogramma,glutinans,,,,delogramma,"Hopkins & Clay, 1952:183",,,,
delogramma,glutinans,,,,delogramma,"Hopkins & Clay, 1952:183",,,,
eidmanni,maximum,,,,eidmanni,"Nelson & Price, 1965:253",,,,
emarginatum,emarginatum,"Piaget, 1880:584 ",,Eulaemobothrion,,,,,,
eurypygae,eurypygae,"Carriker, 1963c:21",Eulaemobothrion,Eulaemobothrion,,,,,,
giganteum,maximum,,Liotheum,,giganteum,"Hopkins & Clay, 1952:184",,,,
gigas,vulturis,,,,gigas,"Nitzsch [In Giebel], 1861a:518 ",,,,
gilvum,unidentifiable,,,,gilvum,"Burm. [In Denny], 1842:203 ",,,,
glutinans,glutinans,"Nitzsch [In Giebel], 1861a:518 ",,Laemobothrion,,,,,,
gracile,gracile,"Giebel, 1874:254 ",,Eulaemobothrion,,,,,,
gracilentum,gracile,,,,gracilentum,"Hopkins & Clay, 1952:184",,,,
grandiculus,maximum,,,,grandiculus,"Price & Emerson, 1967b:251",,,,
grossei,vulturis,,,,grossei,"Nelson & Price, 1965:255",,,,
gypsis,vulturis,,,,gypsis,"Nelson & Price, 1965:255",,,,
hasticeps,tinnunculi,,Nirmus,,hasticeps,"Hopkins & Clay, 1952:184",,,,
hastipes,tinnunculi,,,,hastipes,"Hopkins & Clay, 1952:184",,,,
hieraaeeti,maximum,,,,hieraaeeti,"Nelson & Price, 1965:254",,,,
hoeschi,maximum,,,,hoeschi,"Nelson & Price, 1965:254",,,,
iberum,tinnunculi,,,,iberum,"Price, Palma & Hellenthal, 1997:542",,,,
indicum,maximum,,,,indicum,"Hopkins & Clay, 1952:184",,,,
intermedium,tinnunculi,,,,intermedium,"Nelson & Price, 1965:252",,,,
jabiruensis,jabiruensis,"Carriker, 1963c:20",Eulaemobothrion,Eulaemobothrion,,,,,,
kelloggi,kelloggi,"Bedford, 1919:723 ",,Eulaemobothrion,,,,,,
lathrobium,atrum,,,,lathrobium,"Hopkins & Clay, 1952:184",,,,
laticolle,tinnunculi,,,,laticolle,"Nelson & Price, 1965:252",,,,
lichtensteini,unidentifiable,,,,lichtensteini,"Hoffmannsegge [In Giebel], 1874:253 ",,,,
longetarsatum,tinnunculi,,Physostomum,,longetarsatum,"Nelson & Price, 1965:252",,,,
loomisi,maximum,,,,loomisi,"Nelson & Price, 1965:253",,,,
lunai,maximum,,,,lunai,"Nelson & Price, 1965:254",,,,
maximum,maximum,"Scopoli, 1763:382",Pediculus,Laemobothrion,,,,,,
mendesi,maximum,,,,mendesi,"Nelson & Price, 1965:254",,,,
milvi,maximum,,Pediculus,,milvi,"Hopkins & Clay, 1952:185",,,,
mjoebergi,maximum,,,,mjoebergi,"Nelson & Price, 1965:254",,,,
museihamburgi,glutinans,,,,museihamburgi,"Nelson & Price, 1965:256",,,,
niethammeri,maximum,,,,niethammeri,"Nelson & Price, 1965:254",,,,
nigrolimbatum,maximum,,,,nigrolimbatum,"Hopkins & Clay, 1952:185",,,,
nigrum,atrum,,,,nigrum,"Hopkins & Clay, 1952:185",,,,
nocturnum,nocturnum,"Giebel, 1874:302 ",,Eulaemobothrion,,,,,,
oligothrix,maximum,,,,oligothrix,"Hopkins & Clay, 1952:185",,,,
opisthocomi,opisthocomi,"Cummings, 1913:42 ",,Eulaemobothrion,,,,,,
pallescens,pallescens,"Kellogg, 1908:74 ",,Eulaemobothrion,,,,,,
pallidum,vulturis,,,,pallidum,"Hopkins & Clay, 1952:185",,,,
pallidum,pallescens,,,,pallidum,"Hopkins & Clay, 1952:185",,,,
percnopteri,vulturis,,Liotheum,,percnopteri,"Nelson & Price, 1965:255",,,,
plegadilymanticum,plegadilymanticum,"Eichler, 1943d:4",Eulaemobothrion,Eulaemobothrion,,,,,,
romanicum,vulturis,,,,romanicum,"Nelson & Price, 1965:256",,,,
semicirculus,tinnunculi,,,,semicirculus,"Nelson & Price, 1965:252",,,,
