specific,species,species_ref,genus_ori,subgenus,species_syn,species_syn_ref,subspecies_syn,subspecies_syn_ref,subspecies,subspecies_ref
cairinae,cairinae,"Eichler, 1943i:236",,,,,,,,
clauseni,clauseni,"Price, 1971:637",,,,,,,,
clypeilargum,clypeilargum,"Eichler, 1943i:236",,,,,,,,
concii,leucoxanthum,,,,concii,"Price, 1971:635",,,,
dendrocygni,leucoxanthum,,,,dendrocygni,"Price, 1971:635",,,,
eulasium,tadornae,,Menopon,,eulasium,"Price, 1971:640",,,,
extraneum,tadornae,,Menopon,,extraneum,"Price, 1971:640",,,,
goliath,goliath,"Clay, 1961b:45",,,,,,,,
hansloehrli,leucoxanthum,,,,hansloehrli,"Price, 1971:635",,,,
leucoxanthum,leucoxanthum,"Burm., 1838:440",Menopon,,,,,,,
leucoxanthum marecae,leucoxanthum,,Menopon,,,,leucoxanthum marecae,"Blagov., 1940:27",,
loomisii,loomisii,"Kellogg, 1896a:162",Menopon,,,,,,,
lunarium,leucoxanthum,,Menopon,,lunarium,"Price, 1971:635",,,,
maxbeieri,maxbeieri,"Eichler, 1954c:284",,,,,,,,
museigottingense,tadornae,,,,museigottingense,"Price, 1971:640",,,,
nyrocae,leucoxanthum,,Menopon,,nyrocae,"Price, 1971:635",,,,
obscurum,obscurum,"Piaget, 1880:497",Menopon,,,,,,,
setigerum,setigerum,"Blagov., 1948:260",Menopon,,,,,,,
tadornae,tadornae,"Gervais, 1844:323",Philopterus,,,,,,,
transvaalense,transvaalense,"Bedford, 1920a:716",Menopon,,,,,,,
tumidum,tumidum,"Piaget, 1885:151",Menopon,,,,,,,
cotingae,cotingae,"Carriker, 1949a:298",Machaerilaemus,,,,,,,
emersoni,emersoni,"Price & Clayton, 1989:31",,,,,,,,
tityrus,tityrus,"Carriker, 1903:182",Menopon,,,,,,,
aepypodi,aepypodi,"Price & Emerson, 1966a:353 ",,Kelerimenopon,,,,,,
ciliatum,ciliatum,"Piaget, 1890a:256",Colpocephalum,Kelerimenopon,,,,,,
clayae,clayae,"Price & Emerson, 1966a:355 ",,Kelerimenopon,,,,,,
crassispinum,crassispinum,"Mey, 1982d:231 ",,Kelerimenopon,,,,,,
eichleri,eichleri,"Mey, 1982d:227 ",,Kelerimenopon,,,,,,
fuscirostris,fuscirostris,"Price & Emerson, 1966a:355 ",,Kelerimenopon,,,,,,
galeritae,galeritae,"Price & Emerson, 1966a:358 ",,Lorimenopon,,,,,,
geoffroyi,geoffroyi,"Price & Emerson, 1966a:359 ",,Lorimenopon,,,,,,
griseum,minus,,Menopon,,griseum,"Price & Emerson, 1966a:354",,,,
indonesiensis,indonesiensis,"Mey, 1999:123 ",,Kelerimenopon,,,,,,
longipes,longipes,"Piaget, 1880:524",Colpocephalum,Lorimenopon,,,,,,
minus,minus,"Piaget, 1880:539",Colpocephalum,Kelerimenopon,,,,,,
psittaculae,psittaculae,"Price & Emerson, 1966a:360 ",,Lorimenopon,,,,,,
sanfilippoi,sanfilippoi,"Conci, 1942d:263 ",,Kelerimenopon,,,,,,
thompsoni,thompsoni,"Emerson & Stojanovich, 1965:117 ",,Kelerimenopon,,,,,,
tongaensis,tongaensis,"Mey & Curio, 1993a:69 ",,Kelerimenopon,,,,,,
acadicae,acadicae,"Price & Beer, 1963e:851 ",,Conciella,,,,,,
caputonis,caputonis,"Carriker, 1966b:77",Conciella,Conciella,,,,,,
cheelae,cheelae,"Price & Beer, 1963b:382 ",,Kurodaia,,,,,,
clamatori,caputonis,,Conciella,,clamatori,"Price & Emerson, 1967b:250",,,,
crassiceps,crassiceps,"Piaget, 1885:92",Menopon,Conciella,,,,,,
cryptostigmatia,cryptostigmatia,"Nitzsch [In Giebel], 1861a:529",Menopon,Conciella,,,,,,
deignani,deignani,"Elbel & Emerson, 1960:119 ",,Conciella,,,,,,
edwardsi,magna,,,,edwardsi,"Price & Beer, 1963e:853",,,,
elongata,crassiceps,,Menopon,,elongata,"Hopkins & Clay, 1952:181",,,,
flammei,flammei,"Price & Beer, 1963e:851 ",,Conciella,,,,,,
fulvofasciata,fulvofasciata,"Piaget, 1880:417",Menopon,Kurodaia,,,,,,
glaucidiae,caputonis,,Conciella,,glaucidiae,"Price & Emerson, 1967b:250",,,,
gnomae,gnomae,"Price, 1964a:145 ",,Conciella,,,,,,
haliaeeti,haliaeeti,"Denny, 1842:199",Colpocephalum,Kurodaia,,,,,,
koepckei,koepckei,"Eichler, 1953c:265 ",,Kurodaia,,,,,,
longipes,longipes,"Giebel, 1874:280",Menopon,Conciella,,,,,,
longipes minor,cryptostigmatia,,Menopon,,,,longipes minor,"Piaget, 1880:420",,
macrocybe,macrocybe,"Carriker, 1903:181",Menopon,Kurodaia,,,,,,
magna,magna,"Emerson, 1960d:169 ",,Conciella,,,,,,
menoponoides,fulvofasciata,,Colpocephalum,,menoponoides,"Price & Emerson, 1966b:431",,,,
pachygaster,haliaeeti,,Colpocephalum,,pachygaster,"Hopkins & Clay, 1952:181",,,,
painei,painei,"McGregor, 1912:305",Colpocephalum,Conciella,,,,,,
panjabensis,panjabensis,"Ansari, 1951:160",Cuculiphilus,Conciella,,,,,,
parvula,parvula,"Tendeiro, 1990b:165 ",,Kurodaia,,,,,,
platyclypeatum,platyclypeatum,"Piaget [In Veth], 1887:55",Colpocephalum,Conciella,,,,,,
quatei,quatei,"Price, 1967c:319 ",,Kurodaia,,,,,,
scotopeliae,scotopeliae,"Tendeiro, 1964:179 ",,Conciella,,,,,,
setosa,caputonis,,Conciella,,setosa,"Price & Emerson, 1967b:250",,,,
subpachygaster,subpachygaster,"Piaget, 1880:517",Colpocephalum,Conciella,,,,,,
taguatoi,fulvofasciata,,,,taguatoi,"Price & Beer, 1963b:381",,,,
tordoi,tordoi,"Tendeiro, 1964:176 ",,Conciella,,,,,,
xairido,cryptostigmatia,,Nosopoios,,xairido,"Hopkins & Clay, 1952:182",,,,
dominicanum,dominicanum,"Kellogg & Mann, 1912b:63",Colpocephalum,,,,,,,
elliotti,elliotti,"Timmer., 1957a:9",,,,,,,,
galeatum,galeatum,"Timmer., 1957a:9",,,,,,,,
infans,infans,"Timmer., 1957a:8",,,,,,,,
puffinus,puffinus,"Thompson, 1948b:197",,,,,,,,
shiraii,shiraii,"Nakagawa, 1959c:2",,,,,,,,
americanus,americanus,"Ewing, 1930b:13",Hirundoecus,,,,,,,
atrocephalus,maestus,,,,atrocephalus,"Price, Hellenthal & Dalgleish, 2002:66",,,,
bolivianus,maestus,,,,bolivianus,"Price, Hellenthal & Dalgleish, 2002:66",,,,
clayae,clayae,"Balát, 1966:20",Hirundoecus,,,,,,,
complexus,complexus,"Malcomson, 1937:53",,,,,,,,
cyanocittae,cyanocittae,"Price, Hellenthal & Dalgleish, 2002:68",,,,,,,,
diglossae,diglossae,"Price, Hellenthal & Dalgleish, 2002:71",,,,,,,,
gigas,gigas,"Carriker, 1949a:299",,,,,,,,
hawaiiensis,hawaiiensis,"Kellogg & Chapman, 1902b:165",Menopon,,,,,,,
hirsutus,hirsutus,"Price, Hellenthal & Dalgleish, 2002:72",,,,,,,,
icterus,laticorpus,,,,icterus,"Price, Hellenthal & Dalgleish, 2002:70",,,,
insignis,laticorpus,,,,insignis,"Price, Hellenthal & Dalgleish, 2002:69",,,,
juninensis,maestus,,,,juninensis,"Price, Hellenthal & Dalgleish, 2002:65",,,,
laticapitus,laticapitus,"Price, Hellenthal & Dalgleish, 2002:71",,,,,,,,
laticorpus,laticorpus,"Carriker, 1903:190",Menopon,,,,,,,
latifrons,laticorpus,,,,latifrons,"Price, Hellenthal & Dalgleish, 2002:69",,,,
maestus,maestus,"Kellogg & Chapman, 1899:130",Menopon,,,,,,,
malleus,malleus,"Burm., 1838:441",Eureum,,,,,,,
malleus,malleus,"Burm., 1838:44l",Eureum,,,,,,,
malleus,malleus,"Burm., 1838:441",Eureum,,,,,,,
melospizae,maestus,,,,melospizae,"Price, Hellenthal & Dalgleish, 2002:67",,,,
niethammeri,maestus,,,,niethammeri,"Price, Hellenthal & Dalgleish, 2002:67",,,,
picturatus,laticorpus,,,,picturatus,"Price, Hellenthal & Dalgleish, 2002:70",,,,
plocei,plocei,"Bedford, 1920b:168",,,,,,,,
poecilotis,laticorpus,,,,poecilotis,"Price, Hellenthal & Dalgleish, 2002:69",,,,
raggianae,raggianae,"Price & Emerson, 1965:275",,,,,,,,
robertsi,maestus,,,,robertsi,"Price, Hellenthal & Dalgleish, 2002:65",,,,
submaestus,maestus,,,,submaestus,"Price, Hellenthal & Dalgleish, 2002:66",,,,
tachuris,maestus,,,,tachuris,"Price, Hellenthal & Dalgleish, 2002:66",,,,
tangarae,tangarae,"Price, Hellenthal & Dalgleish, 2002:72",,,,,,,,
abdominalis,abdominalis,"Piaget, 1880:473",Menopon,,,,,,,
abdominalis indicus,abdominalis,,Uchida,,,,abdominalis indicus,"Ansari, 1951:135",,
aburris,aburris,"Carriker, 1946:125",,,,,,,,
aeedonis,aeedonis,"Price, 1977:215",,,,,,,,
aequalis,camelinus,,Lanicanthus,,aequalis,"Price, 1977:210",,,,
affinis,affinis,"Fedorenko {& Belskaya}, 1977:57",,,,,,,,
agilis,agilis,"Nitzsch, 1866:120",Menopon,,,,,,,
alaskensis,alaudae,,Menopon,,alaskensis,"Price, 1977:210",,,,
alaudae,alaudae,"Schrank, 1776:115",Pediculus,,,,,,,
albicans,albicans,"Piaget, 1880:463",Menopon,,,,,,,
albicaudus,albicaudus,"Carriker, 1946:123",,,,,,,,
andalus,pusillus,,,,andalus,"Palma, Price & Hellenthal, 1998:314",,,,
annulatus,eurysternus,,Menopon,,annulatus,"Price, 1975b:617",,,,
annuliventer,annuliventer,"Hopkins, 1950:241",,,,,,,,
arctifasciatus,arctifasciatus,"Piaget, 1885:112",Menopon,,,,,,,
aurocapillus,aurocapillus,"Carriker, 1958c:172",,,,,,,,
balfouri,balfouri,"Waterston, 1915b:15",,,,,,,,
balfouri caucae,balfouri,,,,,,balfouri caucae,"Carriker {& Diaz-Ungria}, 1961:31 ",,
balfouri cuvieri,balfouri,,,,,,balfouri cuvieri,"Carriker {& Diaz-Ungria}, 1961:31 ",,
balfouri prolongus,balfouri,,,,,,balfouri prolongus,"Carriker {& Diaz-Ungria}, 1961:33 ",,
balfouri waterstoni,balfouri,,,,,,balfouri waterstoni,"Carriker {& Diaz-Ungria}, 1961:29 ",,
benii,pici,,,,benii,"Price & Emerson, 1975b:779",,,,
biaculeatus,eurysternus,,Menopon,,biaculeatus,"Price, 1975b:617",,,,
biseriatus,stramineus,,Menopon,,biseriatus,"Hopkins & Clay, 1952:208",,,,
biseriatus,eurysternus,,Colpocephalum,,biseriatus,"Price, 1975b:617",,,,
boliviensis,boliviensis,"Carriker, 1946:133",,,,,,,,
brachygaster,brachygaster,"Giebel, 1874:293",Menopon,,,,,,,
brelihi,eurysternus,,,,brelihi,"Kriötofík, 2000:57",,,,
brevidentatus,camelinus,,,,brevidentatus,"Price, 1977:210",,,,
brevispinus,brevispinus,"Carriker, 1946:133",,,,,,,,
bruneri,pici,,,,bruneri,"Price & Emerson, 1975b:779",,,,
bussei,sinuatus,,,,bussei,"Price, 1977:217",,,,
camelinus,camelinus,"Nitzsch [In Giebel], 1874:288",Menopon,,,,,,,
campephili,campephili,"Price & Emerson, 1975b:782",,,,,,,,
campestris,pusillus,,,,campestris,"Palma, Price & Hellenthal, 1998:314",,,,
cannabinae,alaudae,,,,cannabinae,"Palma, Price & Hellenthal, 1998:310",,,,
caquetae,pici,,,,caquetae,"Price & Emerson, 1975b:779",,,,
carduelis,alaudae,,Menopon,,carduelis,"Price, 1977:210",,,,
caudatus,caudatus,"Giebel, 1876b:529",Menopon,,,,,,,
ceophloeus ceophloeus,pici,,,,,,ceophloeus ceophloeus,"Carriker, 1967a:12 ",,
ceophloeus chocoanus,pici,,,,,,ceophloeus chocoanus,"Carriker, 1967a:12 ",,
cettiae,takayamai,,,,cettiae,"Price, 1977:216",,,,
chabaroviensis,eurysternus,,,,chabaroviensis,"Palma, Price & Hellenthal, 1998:312",,,,
chaparensis,chaparensis,"Carriker, 1946:122",,,,,,,,
chrysophaeus,chrysophaeus,"Kellogg, 1896b:520",Colpocephalum,,,,,,,
cincinnatus,cincinnatus,"Carriker, 1946:124",,,,,,,,
citrinellae,alaudae,,Menopon,,citrinellae,"Price, 1977:210",,,,
colaptis,pici,,Menopon,,colaptis,"Price & Emerson, 1975b:779",,,,
colinus,colinus,"Carriker, 1946:135",,,,,,,,
coniceps,coniceps,"Carriker, 1953b:212",,,,,,,,
cornicis,eurysternus,,,,cornicis,"Price, 1975b:619",,,,
cornuceps,cornuceps,"Hopkins, 1950:241",,,,,,,,
cornutus,cornutus,"Schömmer, 1913:64",Menopon,,,,,,,
cornutus anduzei,cornuceps,,,,,,cornutus anduzei,"Carriker, 1946:120 ",,
cornutus chamaepetus,cornuceps,,,,,,cornutus chamaepetus,"Carriker, 1946:118 ",,
cornutus cornutus,cornuceps,,,,,,cornutus cornutus,"Carriker, 1946:118 ",,
cornutus dazae,cornuceps,,,,,,cornutus dazae,"Carriker, 1946:120 ",,
cornutus goudoti,cornuceps,,,,,,cornutus goudoti,"Carriker, 1946:119 ",,
corvus,gonophaeus,,,,corvus,"Hopkins & Clay, 1952:209",,,,
crateropus,crateropus,"Bedford, 1920a:719",Menopon,,,,,,,
curuccae,curuccae,"Schrank, 1776:113",Pediculus,,,,,,,
daubentoni,daubentoni,"Carriker, 1946:126",,,,,,,,
dendroicae,dendroicae,"Price, 1977:216",,,,,,,,
dennisi,dennisi,"Price & Emerson, 1988:202",,,,,,,,
dicruri,eurysternus,,,,dicruri,"Price, 1975b:619",,,,
difficilis,eurysternus,,Menopon,,difficilis,"Price, 1975b:617",,,,
distinctus,distinctus,"Kellogg & Chapman, 1899:126",Menopon,,,,,,,
dryobates,pici,,Picacanthus,,dryobates,"Price & Emerson, 1975b:779",,,,
dubius,eurysternus,,Menopon,,dubius,"Price, 1975b:617",,,,
dudiyalatora,camelinus,,,,dudiyalatora,"Price, 1977:210",,,,
eichleri,eichleri,"Fedorenko, 1979a:12",Gallacanthus,,,,,,,
eisenachensis,eisenachensis,"Balát, 1981b:274",,,,,,,,
elbeli,elbeli,"Price, 1976d:449",,,,,,,,
eurysternus,eurysternus,"Burm., 1838:439",Menopon,,,,,,,
exilis,exilis,"Nitzsch, 1866:121",Menopon,,,,,,,
exsanguis,exsanguis,"Paine & Mann, 1913:19",Menopon,,,,,,,
exsanguis malherbi,exsanguis,,,,,,exsanguis malherbi,"Carriker, 1967a:16 ",,
extraneus,extraneus,"Carriker, 1967a:16",,,,,,,,
falcatus,falcatus,"Carriker, 1946:131",,,,,,,,
falcatus setosus,setifer,,,,,,falcatus setosus,"Carriker, 1946:135 ",,
fasciatus,fasciatus,"Carriker, 1946:121",,,,,,,,
fasciatus annulatus,annuliventer,,,,,,fasciatus annulatus,"Carriker, 1946:126 ",,
fertilis,fertilis,"Nitzsch, 1866:121",Menopon,,,,,,,
festivus,eurysternus,,,,festivus,"Price, 1975b:619",,,,
flavus,eurysternus,,Colpocephalum,,flavus,"Price, 1975b:617",,,,
foxi,foxi,"Ewing, 1927:87",Philandesia,,,,,,,
fuscocinctus,eurysternus,,Menopon,,fuscocinctus,"Price, 1975b:617",,,,
genitalis,genitalis,"Carriker, 1946:123",,,,,,,,
geothlypis,geothlypis,"Price, 1977:216",,,,,,,,
germanus,eurysternus,,Menopon,,germanus,"Price, 1975b:617",,,,
gonophaeus,gonophaeus,"Burm., 1838:440",Menopon,,,,,,,
gonophaeus monedulae,gonophaeus,,,,,,gonophaeus monedulae,"Blagov., 1951:275 ",,
gracilis,eurysternus,,Menopon,,gracilis,"Price, 1975b:617",,,,
grandis,eurysternus,,,,grandis,"Palma, Price & Hellenthal, 1998:313",,,,
gulabimaina,eurysternus,,,,gulabimaina,"Price, 1975b:619",,,,
guldum,camelinus,,,,guldum,"Price, 1977:210",,,,
hilensis,hilensis,"Kellogg & Chapman, 1902b:166",Menopon,,,,,,,
himalayicus,eurysternus,,,,himalayicus,"Price, 1975b:619",,,,
hispanicus,pusillus,,,,hispanicus,"Palma, Price & Hellenthal, 1998:314",,,,
hoffmanni,pici,,,,hoffmanni,"Price & Emerson, 1975b:781",,,,
inaequalis,camelinus,,Menopon,,inaequalis,"Price, 1977:210",,,,
infumatus,infumatus,"Piaget, 1885:106",Menopon,,,,,,,
inscitus,eurysternus,,,,inscitus,"Price, 1975b:619",,,,
kaddoui,kaddoui,"Eichler & Mey, 1978:182",Gallacanthus,,,,,,,
kalatitar,kalatitar,"Ansari, 1951:137",Uchida,,,,,,,
kevei,eurysternus,,,,kevei,"Price, 1975b:619",,,,
koreae,pici,,,,koreae,"Price & Emerson, 1975b:779",,,,
laticephalus,laticephalus,"Carriker, 1953b:211",,,,,,,,
laticeps,gonophaeus,,,,laticeps,"Price, 1977:208",,,,
latus,latus,"Carriker, 1946:124",,,,,,,,
leistidis,leistidis,"Cicchino, 1984:327",,,,,,,,
longipalpis,longipalpis,"Piaget, 1880:461",Menopon,,,,,,,
longispinus,longispinus,"Carriker, 1946:134",,,,,,,,
lyali,lyali,"Rodriguez Caabeiro et al, 1983:337",,,,,,,,
machadoi,machadoi,"Tendeiro, 1958b:85",,,,,,,,
mamola,mamola,"Ansari, 1955c:53",,,,,,,,
masudi,gonophaeus,,,,masudi,"Price, 1977:208",,,,
mauersbergeri,curuccae,,,,mauersbergeri,"Palma, Price & Hellenthal, 1998:311",,,,
meleagridis,stramineus,,Pediculus,,meleagridis,"Hopkins & Clay, 1952:212",,,,
meniscus,eurysternus,,Menopon,,meniscus,"Price, 1975b:617",,,,
menura,menura,"Le Souëf & Bullen, 1902a:158",Menopon,,,,,,,
meridionalis,meridionalis,"Carriker, 1903:182",Menopon,,,,,,,
meridionalis brasiliensis,meridionalis,,,,,,meridionalis brasiliensis,"Carriker, 1946:130 ",,
meridionalis santanderianus,meridionalis,,,,,,meridionalis santanderianus,"Carriker, 1946:129 ",,
merisuoi,merisuoi,"Eichler, 1953f:171",,,,,,,,
microsceli,eurysternus,,,,microsceli,"Price, 1975b:619",,,,
mikadokiji,mikadokiji,"Uchida, 1917a:183",Menopon,,,,,,,
minusculus,eurysternus,,,,minusculus,"Price, 1975b:619",,,,
minutus,sinuatus,,Menopon,,minutus,"Hopkins & Clay, 1952:212",,,,
minutus,curuccae,,Liotheum,,minutus,"Hopkins & Clay, 1952:212",,,,
mituensis,mituensis,"Carriker, 1946:127",,,,,,,,
mongolicus,alaudae,,,,mongolicus,"Palma, Price & Hellenthal, 1998:310",,,,
monochromateus,eurysternus,,Menopon,,monochromateus,"Price, 1975b:619",,,,
montagnii,montagnii,"Carriker, 1946:121",,,,,,,,
montanus,pusillus,,,,montanus,"Palma, Price & Hellenthal, 1998:314",,,,
mutabilis,eurysternus,,,,mutabilis,"Price, 1975b:619",,,,
mutabilis hopkinsi,eurysternus,,,,,,mutabilis hopkinsi,"Eichler, 1953f:172 ",,
nelsoni,nelsoni,"Price, 1976d:447",,,,,,,,
nogoma,nogoma,"Uchida, 1926:20",,,,,,,,
nothoproctae,nothoproctae,"Carriker, 1944a:84",,,,,,,,
numidae,numidae,"Giebel, 1874:292",Menopon,,,,,,,
obrteli,takayamai,,,,obrteli,"Palma, Price & Hellenthal, 1998:315",,,,
obsoleti,obsoleti,"Price, 1977:215",,,,,,,,
okadai,tarsatus,,Neumannia,,okadai,"Hopkins & Clay, 1952:213",,,,
orientalis,nogoma,,,,orientalis,"Palma, Price & Hellenthal, 1998:314",,,,
orioli,orioli,"Blagov., 1951:277",,,,,,,,
ortalidis,ortalidis,"Carriker, 1903:179",Menopon,,,,,,,
ovatus,gonophaeus,,Menopon,,ovatus,"Price, 1977:208",,,,
ovatus castaneus,gonophaeus,,Menopon,,,,ovatus castaneus,"Piaget, 1885:99",,
pallidulus,pallidulus,"Neumann, 1912a:361",Menopon,,,,,,,
pallipes,pallipes,"Piaget, 1885:111",Menopon,,,,,,,
parviceps,alaudae,,Menopon,,parviceps,"Hopkins & Clay, 1952:213",,,,
parviceps,eurysternus,,Colpocephalum,,parviceps,"Price, 1975b:617",,,,
parvulus,eurysternus,,Menopon,,parvulus,"Price, 1975b:617",,,,
pauxensis,pauxensis,"Carriker, 1946:127",,,,,,,,
perforatus,alaudae,,Menopon,,perforatus,"Price, 1977:210",,,,
perijanus,perijanus,"Carriker, 1946:132",,,,,,,,
persignatus,eurysternus,,Menopon,,persignatus,"Price, 1975b:617",,,,
pflegeri,eurysternus,,,,pflegeri,"Price, 1975b:619",,,,
phasiani,phasiani,"Modrzejewska & Z{l-}otorzycka, 1977:340",Uchida,,,,,,,
phylloscopi,agilis,,,,phylloscopi,"Price, 1977:216",,,,
picae,eurysternus,,Menopon,,picae,"Hopkins & Clay, 1952:214",,,,
pici,pici,"Denny, 1842:200",Menopon,,,,,,,
picicola,picicola,"Packard, 1873:731",Menopon,,,,,,,
picorum,pici,,Picacanthus,,picorum,"Price & Emerson, 1975b:779",,,,
pipilensis,pipilensis,"Carriker, 1946:125",,,,,,,,
pitius,pici,,,,pitius,"Price & Emerson, 1975b:779",,,,
pius,eurysternus,,,,pius,"Price, 1975b:619",,,,
polonicus,eurysternus,,,,polonicus,"Price, 1975b:619",,,,
praecursor,pici,,Menopon,,praecursor,"Price & Emerson, 1975b:779",,,,
pricei,pricei,"Wiseman, 1968:59",,,,,,,,
punensis,pici,,,,punensis,"Price & Emerson, 1975b:779",,,,
pusillus,pusillus,"Nitzsch, 1866:120",Menopon,,,,,,,
pyrrhulae,eurysternus,,Pediculus,,pyrrhulae,"Price, 1975b:617",,,,
quercus,pici,,,,quercus,"Price & Emerson, 1975b:781",,,,
quiscali,quiscali,"Price, 1977:212",,,,,,,,
ralli,ralli,"Neumann, 1912a:366",Menopon,,,,,,,
remizae,eurysternus,,,,remizae,"Kriötofík, 2000:57",,,,
robustus,robustus,"Kellogg, 1896b:528",Menopon,,,,,,,
safedgal,eurysternus,,,,safedgal,"Price, 1975b:619",,,,
samaipatae,samaipatae,"Carriker, 1946:122",,,,,,,,
schildmacheri,eurysternus,,,,schildmacheri,"Palma, Price & Hellenthal, 1998:312",,,,
setifer,setifer,"Hopkins, 1950:241",,,,,,,,
setosus,camelinus,,Menopon,,setosus,"Price, 1977:210",,,,
sinuatus,sinuatus,"Burm., 1838:440",Menopon,,,,,,,
sittae,eurysternus,,Menopon,,sittae,"Price, 1975b:617",,,,
spiniferus,eurysternus,,Menopon,,spiniferus,"Price, 1975b:617",,,,
spiniferus aplonis,eurysternus,,,,,,spiniferus aplonis,"Carriker, 1949b:20 ",,
spinosus,eurysternus,,Menopon,,spinosus,"Price, 1975b:617",,,,
spodocephalae,chrysophaeus,,,,spodocephalae,"Palma, Price & Hellenthal, 1998:311",,,,
stiefeli,alaudae,,,,stiefeli,"Palma, Price & Hellenthal, 1998:310",,,,
stramineus,stramineus,"Nitzsch, 1818:300",Liotheum,,,,,,,
stubbei,stubbei,"Mey, 1982a:160",,,,,,,,
sturnellae,sturnellae,"Price, 1977:212",,,,,,,,
subhorridus,sinuatus,,,,subhorridus,"Price, 1977:217",,,,
subsimilis,sinuatus,,,,subsimilis,"Price, 1977:217",,,,
subspinosus,eurysternus,,,,subspinosus,"Price, 1975b:619",,,,
takayamai,takayamai,"Uchida, 1926:22",,,,,,,,
tarsatus,tarsatus,"Piaget, 1880:472",Menopon,,,,,,,
tenuifrons,tenuifrons,"Blagov., 1940:37",,,,,,,,
tibialis,eurysternus,,Menopon,,tibialis,"Price, 1975b:617",,,,
tibialis minor,eurysternus,,Menopon,,,,tibialis minor,"Piaget, 1885:101",,
tichodromae,eurysternus,,,,tichodromae,"Palma, Price & Hellenthal, 1998:313",,,,
translucidus,eurysternus,,Menopon,,translucidus,"Price, 1975b:617",,,,
tristisi,eurysternus,,,,tristisi,"Price, 1975b:619",,,,
trivialis,pusillus,,,,trivialis,"Price, 1977:213",,,,
turkmenicus,eurysternus,,,,turkmenicus,"Palma, Price & Hellenthal, 1998:313",,,,
tyranni,tyranni,"Price, 1977:212",,,,,,,,
unicolor,unicolor,"Piaget, 1880:471",Menopon,,,,,,,
upupae,fertilis,,Menopon,,upupae,"Hopkins & Clay, 1952:216",,,,
valenciae,valenciae,"Carriker, 1946:132",,,,,,,,
verecundus,curuccae,,,,verecundus,"Price, 1977:215",,,,
vistulanus,curuccae,,,,vistulanus,"Price, 1977:215",,,,
vistulanus appositus,curuccae,,,,,,vistulanus appositus,"Fedorenko {& Kharambura et al}, 1980:92 ",,
vistulanus ultimus,curuccae,,,,,,vistulanus ultimus,"Fedorenko {& Kharambura et al}, 1980:93 ",,
volkovi,eurysternus,,,,volkovi,"Palma, Price & Hellenthal, 1998:312",,,,
wegelini,curuccae,,,,wegelini,"Price, 1977:215",,,,
werneri,werneri,"Emerson & Ward, 1958b:52",,,,,,,,
wipszyckii,eurysternus,,,,wipszyckii,"Palma, Price & Hellenthal, 1998:312",,,,
zumpti,stramineus,,Zemiodes,,zumpti,"Ledger, 1980:247",,,,
abnorme,unidentifiable,,,,abnorme,"Hopkins & Clay, 1952:216",,,,
albiceps,albipes [=unidentifiable],,,,albiceps,"Hopkins & Clay, 1952:216",,,,
albidum,unidentifiable,,,,albidum,"Hopkins & Clay, 1952:216",,,,
albipes,unidentifiable,,,,albipes,"Hopkins & Clay, 1952:217",,,,
brevipes,gallinae,,,,brevipes,"Emerson, 1954b:226",,,,
carrikeri,carrikeri,"Emerson, 1954b:229",,,,,,,,
clayae,clayae,"Emerson, 1954b:229",,,,,,,,
commissum,unidentifiable,,,,commissum,"Hopkins & Clay, 1952:218",,,,
deryloi,deryloi,"Z{l-}otorzycka, 1972:580",,,,,,,,
ferrisi,ferrisi,"Emerson, 1954b:229",,,,,,,,
gallinae,gallinae,"L., 1758:613",Pediculus,,,,,,,
gryphus,unidentifiable,,,,gryphus,"Hopkins & Clay, 1952:219",,,,
hirsutum,unidentifiable,,,,hirsutum,"Carriker, 1967f:102",,,,
hopkinsi,hopkinsi,"Emerson, 1954b:229",,,,,,,,
interpositum,interpositum,"Ansari, 1951:167",,,,,,,,
jellisoni,jellisoni,"Emerson, 1954b:230",,,,,,,,
kuntzi,kuntzi,"Emerson & Stojanovich, 1963:261",,,,,,,,
longicephalum,gallinae,,,,longicephalum,"Hopkins & Clay, 1952:220",,,,
lunanale,gallinae,,,,lunanale,"Emerson, 1954b:226",,,,
pallens,pallens,"Clay, 1949b:902",,,,,,,,
pallescens,pallens,,,,pallescens,"Nitzsch [In Giebel], 1874:293 ",,,,
pallescens major,pallens,,,,,,pallescens major,"Piaget, 1880:471 ",,
pallescens pallidum,pallens,,,,,,pallescens pallidum,"Piaget, 1880:471 ",,
pallidum,gallinae,,Liotheum,,pallidum,"Hopkins & Clay, 1952:221",,,,
pileatum,unidentifiable,,,,pileatum,"Hopkins & Clay, 1952:222",,,,
productum,gallinae,,,,productum,"Emerson, 1954b:226",,,,
productum major,gallinae,,,,,,productum major,"Piaget, 1880:462 ",,
spinulosum,spinulosum,"Giebel, 1874:293",,,,,,,,
subaequale productum,gallinae,,,,,,subaequale productum,"Piaget, 1885:109 ",,
subgallinae,subgallinae,"Emerson, 1954b:226",,,,,,,,
trigonocephalus,gallinae,,Nirmus,,trigonocephalus,"Hopkins & Clay, 1952:224",,,,
truncatum,unidentifiable,,,,truncatum,"Hopkins & Clay, 1952:224",,,,
brevicolle,brevicolle,"Piaget, 1885:108",Menopon,,,,,,,
concii,meropis,,,,concii,"Price & Emerson, 1977:216",,,,
incisum,incisum,"Giebel, 1866:391",Menopon,,,,,,,
marshalli,marshalli,"Price & Emerson, 1977:217",,,,,,,,
