type_host,host_species,host_auth,host_order,host_family,invalid_host,host_ref,family,generic,genus,genus_ref,genus_type,genus_type_ref,specific,species,species_ref,genus_ori,subgenus,species_syn,species_syn_ref,subspecies_syn,subspecies_syn_ref,subspecies,subspecies_ref,genus_syn,genus_syn_ref,genus_new_syn
*,Himantopus mexicanus,Müller) ,Charadri.,Recurvirostr.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,mexicanus,mexicanus,"Emerson, 1953a:134",,,,,,,,,,,
*,Anous stolidus,L.) ,Charadri.,Lar.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,milleri,incisus,,Colpocephalum,,milleri,"Emerson, 1972b:17",,,,,,,
*,Calidris melanotos,Vieillot) ,Charadri.,Scolopac.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,morsitans,umbrinus,,Colpocephalum,,morsitans,"Emerson, 1972b:22",,,,,,,
*,Lymnocryptes minima,Brünnich) ,Charadri.,Scolopac.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,multisetosus,multisetosus,"Blagov., 1940:41",,,,,,,,,,,
*,Sterna hirundo hirundo,L. ,Charadri.,Lar.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,negroidalis,piceus piceus,,Larithophilus,,negroidalis,"Price & Emerson, 1966b:432",,,,,,,
*,Charadrius alexandrinus,L. ,Charadri.,Charadri.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,nodularis,nodularis,"Martinho Guimarães, 1988:157",,,,,,,,,,,
*,Numenius arquata,L.) ,Charadri.,Scolopac.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,numenii,patellatus,,Menopon,,numenii,"Clay, 1962a:243",,,,,,,
*,Numenius phaeopus,L.) ,Charadri.,Scolopac.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ocellatus,ocellatus,"Rudow, 1869a:392",Colpocephalum,,,,,,,,,,
*,Limosa lapponica,L.) ,Charadri.,Scolopac.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ochraceus,limosae,,Colpocephalum,,ochraceus,"Hopkins & Clay, 1952:23",,,,,,,
,Charadrius collaris,Vieillot ,Charadri.,Charadri.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ochraceus,ochraceus,"Nitzsch, 1818:299",Liotheum,,,,,,,,,,
,Charadrius dubius,Scopoli ,Charadri.,Charadri.,,"Brelih & Tovornik, 1962:91",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ochraceus,ochraceus,"Nitzsch, 1818:299",Liotheum,,,,,,,,,,
,Charadrius falklandicus,Latham,Charadri.,Charadri.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ochraceus,ochraceus,"Nitzsch, 1818:299",Liotheum,,,,,,,,,,
,Charadrius hiaticula,L. ,Charadri.,Charadri.,,"Emerson, 1972b:19",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ochraceus,ochraceus,"Nitzsch, 1818:299",Liotheum,,,,,,,,,,
,Charadrius leschenaultii,Lesson ,Charadri.,Charadri.,,"Ledger, 1980:273",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ochraceus,ochraceus,"Nitzsch, 1818:299",Liotheum,,,,,,,,,,
,Charadrius melodus,Ord ,Charadri.,Charadri.,,"Emerson, 1972b:19",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ochraceus,ochraceus,"Nitzsch, 1818:299",Liotheum,,,,,,,,,,
,Charadrius mongolus,Pallas ,Charadri.,Charadri.,,"Emerson, 1972b:19",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ochraceus,ochraceus,"Nitzsch, 1818:299",Liotheum,,,,,,,,,,
,Charadrius montanus,Townsend ,Charadri.,Charadri.,,"Emerson, 1972b:19",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ochraceus,ochraceus,"Nitzsch, 1818:299",Liotheum,,,,,,,,,,
,Charadrius peronii,Schlegel,Charadri.,Charadri.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ochraceus,ochraceus,"Nitzsch, 1818:299",Liotheum,,,,,,,,,,
,Charadrius semipalmatus,Bonaparte ,Charadri.,Charadri.,,"Emerson, 1972b:19",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ochraceus,ochraceus,"Nitzsch, 1818:299",Liotheum,,,,,,,,,,
,Charadrius tricollaris,Vieillot ,Charadri.,Charadri.,,"Clay, 1962a:199",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ochraceus,ochraceus,"Nitzsch, 1818:299",Liotheum,,,,,,,,,,
,Charadrius wilsonia,Ord ,Charadri.,Charadri.,,"Emerson, 1972b:19",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ochraceus,ochraceus,"Nitzsch, 1818:299",Liotheum,,,,,,,,,,
,Eudromias morinellus,L.) ,Charadri.,Charadri.,,"Emerson, 1972b:19",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ochraceus,ochraceus,"Nitzsch, 1818:299",Liotheum,,,,,,,,,,
,Eudromias ruficollis,Wagler),Charadri.,Charadri.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ochraceus,ochraceus,"Nitzsch, 1818:299",Liotheum,,,,,,,,,,
*,Pluvialis apricaria,Meinertzhagen ,Charadri.,Charadri.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ochraceus,ochraceus,"Nitzsch, 1818:299",Liotheum,,,,,,,,,,
,Pluvialis dominica,Müller) ,Charadri.,Charadri.,,"Emerson, 1972b:19",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ochraceus,ochraceus,"Nitzsch, 1818:299",Liotheum,,,,,,,,,,
,Pluvialis fulva,Gmelin) ,Charadri.,Charadri.,,"Pilgrim & Palma, 1982:20",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ochraceus,ochraceus,"Nitzsch, 1818:299",Liotheum,,,,,,,,,,
,Pluvialis obscura,Gmelin) ,Charadri.,Charadri.,,"Pilgrim & Palma, 1982:20",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ochraceus,ochraceus,"Nitzsch, 1818:299",Liotheum,,,,,,,,,,
,Pluvialis squatarola,L.) ,Charadri.,Charadri.,,"Emerson, 1972b:19",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ochraceus,ochraceus,"Nitzsch, 1818:299",Liotheum,,,,,,,,,,
,Vanellus gregarius,Pallas) ,Charadri.,Charadri.,,"Clay, 1962a:199",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ochraceus,ochraceus,"Nitzsch, 1818:299",Liotheum,,,,,,,,,,
*,Arenaria interpres morinella,L.) ,Charadri.,Scolopac.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,ocularis,bicolor,,Colpocephalum,,ocularis,"Hopkins & Clay, 1952:23",,,,,,,
*,Puffinus pacificus,,,,? host,"Emerson, 1972b:17",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,pacificus,incisus,,Clypeodon,,pacificus,"Emerson, 1972b:17",,,,,,,
*,Arenaria interpres,L.) ,Charadri.,Scolopac.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,paetulus,bicolor,,Colpocephalum,,paetulus,"Hopkins & Clay, 1952:23",,,,,,,
,Tringa melanoleuca,Gmelin) ,Charadri.,Scolopac.,,"Clay, 1962a:220",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,paludosus,paludosus,"Clay, 1962a:219",,,,,,,,,,,
*,Tringa nebularia,Gunnerus),Charadri.,Scolopac.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,paludosus,paludosus,"Clay, 1962a:219",,,,,,,,,,,
,Numenius americanus,Bechstein ,Charadri.,Scolopac.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,patellatus,patellatus,"Piaget, 1890a:254",Colpocephalum,,,,,,,,,,
*,Numenius arquata,L.),Charadri.,Scolopac.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,patellatus,patellatus,"Piaget, 1890a:254",Colpocephalum,,,,,,,,,,
*,Chionis minor,Hartlaub ,Charadri.,Chionid.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,pauliani,pauliani,"Séguy, 1953:591",,,,,,,,,,,
*,Arenaria interpres,L.) ,Charadri.,Scolopac.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,pediculoides,pediculoides,"Mjöberg, 1910b:44",Colpocephalum,,,,,,,,,,
*,Lunda cirrhata,,,,? host,"Emerson, 1972b:19",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,perplanus,ochraceus,,Colpocephalum,,perplanus,"Emerson, 1972b:19",,,,,,,
*,Charadrius dubius,Scopoli ,Charadri.,Charadri.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,perrarus,ochraceus,,,,perrarus,"Emerson, 1972b:19",,,,,,,
,Larus argentatus,Pontoppidan ,Charadri.,Lar.,,"Emerson, 1972b:20",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus atricilla,L. ,Charadri.,Lar.,,"Emerson, 1972b:20",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus californicus,Lawrence ,Charadri.,Lar.,,"Emerson, 1972b:20",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus canus,L. ,Charadri.,Lar.,,"Emerson, 1972b:20",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus cirrocephalus,Vieillot ,Charadri.,Lar.,,"Timmer., 1954c:839",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus crassirostris,Vieillot,Charadri.,Lar.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus delawarensis,Ord ,Charadri.,Lar.,,"Emerson, 1972b:20",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus dominicanus,Lichtenstein ,Charadri.,Lar.,,"Emerson, 1972b:20",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus fuscus,L. ,Charadri.,Lar.,,"Emerson, 1972b:20",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus genei,Brème ,Charadri.,Lar.,,"Timmer., 1954c:839",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus glaucescens,Naumann ,Charadri.,Lar.,,"Emerson, 1972b:20",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus glaucoides,Meyer ,Charadri.,Lar.,,"Emerson, 1972b:20",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus heermanni,Cassin ,Charadri.,Lar.,,"Emerson, 1972b:20",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus hemprichii,Bruch ,Charadri.,Lar.,,"Timmer., 1954c:839",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus hyperboreus,Gunnerus ,Charadri.,Lar.,,"Emerson, 1972b:20",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus leucophthalmus,Temminck ,Charadri.,Lar.,,"Timmer., 1954c:839",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus maculipennis,Lichtenstein ,Charadri.,Lar.,,"Castro & Cicchino, 1987b:374",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
*,Larus marinus,L.,Charadri.,Lar.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus minutus,Pallas ,Charadri.,Lar.,,"Emerson, 1972b:20",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus novaehollandiae,Stephens ,Charadri.,Lar.,,"Pilgrim & Palma, 1982:22",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus occidentalis,Audubon ,Charadri.,Lar.,,"Emerson, 1972b:20",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus philadelphia,Ord) ,Charadri.,Lar.,,"Emerson, 1972b:20",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus pipixcan,Wagler ,Charadri.,Lar.,,"Emerson, 1972b:20",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus ridibundus,L. ,Charadri.,Lar.,,"Emerson, 1972b:20",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus schistisagus,Stejneger ,Charadri.,Lar.,,"Emerson, 1972b:20",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Larus serranus,Tschudi,Charadri.,Lar.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Pagophila eburnea,Phipps) ,Charadri.,Lar.,,"Emerson, 1972b:20",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Rhodostethia rosea,Macgillivray) ,Charadri.,Lar.,,"Emerson, 1972b:21",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Rissa brevirostris,Bruch) ,Charadri.,Lar.,,"Emerson, 1972b:20",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Rissa tridactyla,L.) ,Charadri.,Lar.,,"Emerson, 1972b:20",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Xema sabini,Sabine) ,Charadri.,Lar.,,"Emerson, 1972b:21",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus lari,,,Colpocephalum,,,,,,piceus lari,"Packard, 1870:96",,,
,Chlidonias hybrida,Pallas) ,Charadri.,Lar.,,"Ledger, 1980:278",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
,Chlidonias leucoptera,Temminck) ,Charadri.,Lar.,,"Emerson, 1972b:21",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
,Chlidonias nigra,L.) ,Charadri.,Lar.,,"Emerson, 1972b:21",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
,Gelochelidon nilotica,Gmelin) ,Charadri.,Lar.,,"Emerson, 1972b:21",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
,Gygis alba,Sparrman) ,Charadri.,Lar.,,"Emerson, 1972b:21",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
,Hydroprogne caspia,Pallas) ,Charadri.,Lar.,,"Emerson, 1972b:21",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
,Sterna albifrons,Pallas ,Charadri.,Lar.,,"Emerson, 1972b:21",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
,Sterna aleutica,Baird ,Charadri.,Lar.,,"Emerson, 1972b:21",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
,Sterna anaethetus,Scopoli ,Charadri.,Lar.,,"Emerson, 1972b:21",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
,Sterna aurantia,Gray,Charadri.,Lar.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
,Sterna dougallii,Montagu ,Charadri.,Lar.,,"Emerson, 1972b:21",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
,Sterna forsteri,Nuttall ,Charadri.,Lar.,,"Emerson, 1972b:21",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
,Sterna fuscata,L. ,Charadri.,Lar.,,"Emerson, 1972b:21",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
,Sterna hirundo,L. ,Charadri.,Lar.,,"Emerson, 1972b:21",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
,Sterna lunata,Peale ,Charadri.,Lar.,,"Amerson & Emerson, 1971:28",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
,Sterna paradisaea,Pontoppidan ,Charadri.,Lar.,,"Emerson, 1972b:21",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
,Sterna sumatrana,Raffles,Charadri.,Lar.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
,Sterna trudeaui,Audubon ,Charadri.,Lar.,,"Emerson, 1972b:21",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
,Thalasseus bengalensis,Lesson) ,Charadri.,Lar.,,"Ledger, 1980:78",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
,Thalasseus bergii,Lichtenstein) ,Charadri.,Lar.,,"Ledger, 1980:278",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
,Thalasseus elegans,Gambel) ,Charadri.,Lar.,,"Emerson, 1972b:21",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
,Thalasseus maximus,Boddaert) ,Charadri.,Lar.,,"Emerson, 1972b:21",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
*,Thalasseus sandvicensis sandvicensis,Latham),Charadri.,Lar.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,piceus piceus,,,Liotheum,,,,,,piceus piceus,"Denny, 1842:198",,,
*,Gypogeranus cirratus,,,,? host,"Clay, 1962a:243",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,pustulatus,spinulosus,,Colpocephalum,,pustulatus,"Clay, 1962a:243",,,,,,,
*,Philomachus pugnax,L.) ,Charadri.,Scolopac.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,pustulosus,pustulosus,"Piaget, 1880:559",Colpocephalum,,,,,,,,,,
*,Himantopus himantopus,L.) ,Charadri.,Recurvirostr.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,raviensis,himantopi,,,,raviensis,"Clay, 1962a:243",,,,,,,
*,Charadrius semipalmatus,Bonaparte ,Charadri.,Charadri.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,sabulosus,sabulosus,"Clay, 1962a:228",,,,,,,,,,,
*,Passer domesticus,,,,? host,"Emerson, 1972b:17",MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,scopularius,gracilis,,Liotheum,,scopularius,"Emerson, 1972b:17",,,,,,,
*,Glareola pratincola,L.) ,Charadri.,Glareol.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,sedes,sedes,"Eichler, 1944d:56",,,,,,,,,,,
*,Sterna albifrons,Pallas ,Charadri.,Lar.,,,MENOPONIDAE,Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,sperabilis,piceus piceus,,Larithophilus,,sperabilis,"Price & Emerson, 1966b:432",,,,,,,
