generic,genus,genus_ref,genus_type,genus_type_ref,genus_syn,genus_syn_ref,genus_new_syn,subgenus,subgenus_ref,subgenus_type,subgenus_type_ref
Ciconiphilus,Ciconiphilus,,Colpocephalum pectiniventre,"Eichler, 1944d:57 ",Anseriphilus,"Hopkins & Clay, 1952:37",,,,,
Bucerophagus,Bucerophagus,,Menopon forcipatum,"Eichler, 1947a:3 ",Antimenopon,"Hopkins & Clay, 1952:37",,,,,
Apterygon,Apterygon,"Clay, 1961a:571",Apterygon mirum,Clay,,,,,,,
Colpocephalum,Colpocephalum,,Colpocephalum impressum,"Eichler & Z{l-}otorzycka, 1971:30 ",Aquiligogus,,New Syn,,,,
Ardeiphilus,Ardeiphilus,"Bedford, 1939b:139",Colpocephalum trochioxum,Burm.,,,,,,,
Argimenopon,Amyrsidea,"Scharf & Price, 1977:815",,,,,,Argimenopon,"Eichler, 1947a:5 ",Argimenopon polytrichum,Eichler
Eureum,Eureum,,Eureum cimicoides,"Eichler, 1949b:11 ",Arndtiella,"Hopkins & Clay, 1952:42",,,,,
Myrsidea,Myrsidea,,Menopon cinerea,"Conci, 1942a:31 ",Australmenopon,"Clay, 1966c:330",,,,,
Austromenopon,Austromenopon,"Bedford, 1939b:122",Menopon crocatum,Nitzsch,,,,,,,
Colpocephalum,Colpocephalum,,Colpocephalum longipes,"Eichler, 1982:82 ",Blagoveshtshenskyella,,New Syn,,,,
Bonomiella,Bonomiella,"Conci, 1942f:124",Bonomiella insolitunguicolata,Conci,,,,,,,
Bucerocolpocephalum,Bucerocolpocephalum,"Elbel, 1967:36",Bucerocolpocephalum emersoni,Elbel,,,,,,,
Bucerophagus,Bucerophagus,"Bedford, 1929:509",Bucerophagus africanus,Bedford,,,,,,,
Cacamenopon,Franciscoloa,"Price, 1967d:514",,,,,,Cacamenopon,"Price, 1967d:514 ",Franciscoloa hodsoni,Price
Colpocephalum,Colpocephalum,,Colpocephalum breve,"Eichler, 1952c:76 ",Cariamigogus,"Hopkins & Clay, 1953:435",,,,,
Hoazineus,Hoazineus,,Colpocephalum armiferum,"Eichler, 1941a:127 ",Carrikerella,"Hopkins & Clay, 1952:66",,,,,
Carrikeria,Cuculiphilus,"Scharf & Price, 1965:551",,,,,,Carrikeria,"Hopkins, 1947a:182 ",Menacanthus megaspinus,Carriker
Cavifera,Cavifera,"Clay & Price, 1970b:336",Cavifera abdita,Clay & Price,,,,,,,
Chapinia,Chapinia,"Ewing, 1927:88",Chapinia robusta,Ewing,,,,,,,
Ciconiphilus,Ciconiphilus,"Bedford, 1939b:141",Colpocephalum quadripustulatum,Burm.,,,,,,,
Clayia,Clayia,"Hopkins, 1941b:46",Colpocephalum mjoebergi,Hopkins,,,,,,,
Actornithophilus,Actornithophilus,,Colpocephalum incisum,"Timmer., 1954c:830 ",Clypeodon,"Emerson, 1972b:15",,,,,
Colimenopon,Colimenopon,"Clay & Meinertzhagen, 1941:332",Machaerilaemus urocolius,Bedford,,,,,,,
Collodennyus,Dennyus,"Ledger, 1970b:240",,,,,,Collodennyus,"Ledger, 1970b:240 ",Dennyus distinctus,Ferris
Ardeiphilus,Ardeiphilus,,nomen nudum,"Kéler, 1939c:57 ",Colpocarenum,"Hopkins & Clay, 1952:75",,,,,
Colpocephalum,Colpocephalum,"Nitzsch, 1818:298",Colpocephalum zebra,Burm.,,,,,,,
Hohorstiella,Hohorstiella,,Columbimenopon modestus,"Ansari, 1951:130 ",Columbimenopon,"Hopkins & Clay, 1953:437",,,,,
Comatomenopon,Comatomenopon,"Uchida, 1920:648",Comatomenopon elongatum,Uchida,,,,,,,
Conciella,Kurodaia,"Hopkins & Clay, 1952:88",,,,,,Conciella,"Eichler, 1949b:11 ",Colpocephalum painei,McGregor
Coramenopon,Coramenopon,"Price, 1968a:41",Menopon coracopsis,Mjöberg,,,,,,,
Colpocephalum,Colpocephalum,,Colpocephalum subaequale,"Conci, 1942a:30 ",Corvocolpocephalum,"Hopkins & Clay, 1952:89",,,,,
Myrsidea,Myrsidea,,Menopon robsoni,"Conci, 1942a:31 ",Corvomenopon,"Hopkins & Clay, 1952:89",,,,,
